tweet,clean_tweet,sentiment
"Gempa Lombok M4,6 Selasa, 25 Jan. 2022 pkl 05.14.14 WIB kemarin pagi memiliki mekanisme sumber sesar geser mengiri… https://t.co/PqNBd4a6gP",gempa lombok selasa januari pkl wib kemarin pagi memiliki mekanisme sumber sesar bergeser mengiri,Negative
"Gempa Lombok M4,6 Selasa, 25 Jan 2022 pkl 05.14.14 WITA kemarin yang mengguncang hampir seluruh Pulau Lombok menyeb… https://t.co/W6QvsjGxDe",gempa lombok selasa januari pkl wita kemarin berguncang mengguncang pulau lombok menyeb,Negative
Gempa bumi semenit itu lama apa sebentar? Syg!,gempa bumi semenit sebentar,Negative
"@piyaaacill Biasanya kalo ada gempa udah ada info masuk, tapi ini ga ada.",terkadang gempa terkadang info masuk terkadang,Negative
Ini kasur gue yang goyang apa emang gempa,kasur berguncang berguncang gempa,Negative
"Nah ini, trust issue soal gempa.
Selalu periksa barang sekitar atau liat/tanya orang lain kalo gempa. Makannya sela… https://t.co/ykTXvS33Ni",trust issue gempa periksa barang lihatnya orang gempa makannya,Negative
"Inilah jalur sesar yang diperkirakan menjadi pemicu Gempa Lombok M4,6 Selasa, 25 Jan 2022 pkl 05.14.14 WITA dan men… https://t.co/89QKdy0Qrr",jalur sesar berguncang pemicu gempa lombok selasa januari pkl wita terkadang teman,Negative
"@RIlahi2 Jika perbuatan dosa atau kemaksiatan meraja Lela, maka tunggu saja datang bencana yang lebih besar...mungk… https://t.co/s5GZqDCVPv",perbuatan dosa kemaksiatan meraja lela tunggu bencana berguncang besarmungk,Negative
"@RagilSemar Salah satunya, dia paham betul borok² Partai.
Kalau dia dipecat, bisa gempa tuh partai. AD kan remnya B… https://t.co/LAuEI8LgAJ",salah satunya paham borok partai dipecat gempa partai terkadang remnya,Negative
"GEMPA Disertai TSUNAMI Berpotensi Terjadi di Pandeglang, BMKG: Saya Minta Tolong Muspika Agar Ikut Aktif https://t.co/ww2dsI1CNX",gempa disertai tsunami berpotensi pandeglang bmkg tolong muspika aktif,Negative
"@afrkml Aku sering ngerasa bumi geter kayak ada gempa gitu, trutama pas bebaring... Tapi gaterlalu parah sih, kayak… https://t.co/CxHq7rNehx",berasa bumi bergetar terkadang gempa trutama bebaring gaterlalu parah,Negative
Kamu merasa gempa gak ??? ada kamu yang mengguncang hatiku sih. Nadila_JKT48,gempa terkadang berguncang mengguncang hatiku nadilajkt,Negative
Mimpi gempa itu pertanda apa syg? aku cari di google jawaban nya ambigu,mimpi gempa pertanda cari google ambigu,Negative
"@afrkml Ahahahha hampir tiap hari begini kalo tiduran, makanya gempa kemarin gak tau kalo itu gempa beneran",ahahahha tiduran gempa kemarin tau gempa beneran,Negative
@Gempa_Tsunami Semoga saudara saudari kita di sana selalu dalam lindungan Allah SWT .. Aamiin🤲🤲,tsunami semoga saudara saudari lindungan swt aamiin,Neutral
"Info Karangetang Periode 00:00-24:00 WITA 16x DG AMP 10-15mm T 28-31sec,45x VTA AMP 5-75mm S-P 0.5-1sec T 6-14sec,4… https://t.co/5lxCZpkBUs",info karangetang periode wita mm secx vta mm sp sec sec,Neutral
ternyata gue vertigo😥 pantesan suka ngerasa kek ada gempa tiba tiba,vertigo pantesan suka berasa terkadang gempa,Neutral
"Info Gempa Mag:3.2 SR, 26-Jan-22 06:34:13 WIT, Lok:3.46 LS-126.78 BT (41 km Baratdaya Namlea-BURU, 41 km Utara Namr… https://t.co/PNVSTcip6J",info gempa magnitudo januari wit lokasi barat daya namleaburu utara namr,Negative
"@ApparellYusril Halo, saya Bencana Bot. Untuk melaporkan dampak gempa di sekitarmu, silakan balas dengan #gempa https://t.co/rTeKtI7sE2",halo bencana bot melaporkan dampak gempa sekitarmu silakan balas,Negative
"""Gempa yang dirasakan di Jakarta 14 Januari 2022 kembali mengingatkan kepada publik https://t.co/lB2vAw6h1t",gempa berguncang dirasakan jakarta januari publik,Negative
"@afrkml Kemaren baru ngalamin. Soalnya kemaren lagi stres berat, tiba2 pas makan tuh kek benda sekitar pada gerak d… https://t.co/vKszo6gXpb",kemarin ngalamin kemarin stres berat makan benda gerak,Neutral
"@OmFahri4 Halo, saya Bencana Bot. Untuk melaporkan dampak gempa di sekitarmu, silakan balas dengan #gempa https://t.co/7wJg8BfLLj",halo bencana bot melaporkan dampak gempa sekitarmu silakan balas,Negative
"@nengterii Halo, saya Bencana Bot. Untuk melaporkan dampak gempa di sekitarmu, silakan balas dengan #gempa https://t.co/g2WPz7pUdA",halo bencana bot melaporkan dampak gempa sekitarmu silakan balas,Negative
"Teens_Fannie kamu itu kayak
lempengan bumi ya, geser dikit aja bisa
https://t.co/PEMF3a0qf1 hati aku.",teensfannie lempengan bumi berguncang bergeser hati,Neutral
"@inten_yanti Halo, saya Bencana Bot. Untuk melaporkan dampak gempa di sekitarmu, silakan balas dengan #gempa https://t.co/6t8G5bH9xv",yanti halo bencana bot melaporkan dampak gempa sekitarmu silakan balas,Negative
"@Reuters dipasang dulu karena sempat gempa besar....
khawatir kalau merambat kemana-mana....
kalau tak cepat-cepat dilokalisir....",dipasang gempa khawatir merambat kemanamana cepatcepat dilokalisir,Negative
* Kamu merasa gempa gak ? ada kamu yang mengguncang hatiku sih,gempa terkadang berguncang mengguncang hatiku,Negative
"baru juga merem, tiba2 ngerasa goyang… kan saya jd panik, kirain gempa, udah siap bangun dan kabur nih",merem berasa berguncang panik gempa terbangun terkadang kabur nih,Negative
Tiba² kebangun jam segini karna takut gempa kayak kmrn huhuu,terbangun jam segini takut gempa kemarin huhuu,Negative
sumpah dah... ini gua parnoan gempa karna tinggal di apart skdjnsksksksk mana subuh giniiii,sumpah parnoan gempa tinggal apart skdjnsksksksk subuh giniiii,Negative
"@shuhuw #Gempa Mag:3.8, 23-Jan-22 12:20:13 WIB, Lok:7.41 LS, 121.87 BT (Pusat gempa berada di otak Kyra), Kedalaman… https://t.co/dSQtgdg7yP",magnitudo januari wib lokasi pusat gempa otak kyra kedalaman,Negative
ini barusan gempa???,barusan gempa,Negative
@FaisalBasri sangat urgent perlu secepatnya pemindahan para ASN dari pemerintah ke IKN jika tidak kalau gempa Megat… https://t.co/inLnOI26GC,urgent secepatnya pemindahan asn pemerintah kedalaman gempa megat,Negative
@lnfoGempa LU HARUSNYA BEGADANG KARENA NUNGGU INFO GEMPA,begadang nunggu info gempa,Negative
"mi_ChristyChiBi kamu itu kayak lempengan bumi ya, geser
dikit aja bisa https://t.co/4CxwZMGrMy hati aku.",michristychibi lempengan bumi berguncang bergeser hati,Neutral
"Nikmati Kemenangan Bersama Kami Di CandiQQ ! 
Langsung Daftar IDnya Ya ! Link: CandiQQ77(dot)net
#candiQQ… https://t.co/I5LqUFgDa6",nikmati kemenangan langsung daftar idnya berguncang,Positive
yaallah pusing bgt kek lagi gempa:(,pusing gempa,Negative
Gempa kah?,gempa kah,Negative
"Badan geter kukira gempa ternyata overdosis kopi + belum maem.
Yaallah makin gasayang diri sendiri.
Ada yang mau ja… https://t.co/qAANJKCH2f",badan bergetar kukira gempa overdosis kopi maem gasayang terkadang berguncang januari,Negative
barusan gempa atau awak yg oyong ni,barusan gempa awak oyong,Negative
@afrkml ini namanya vertigo ya? aku ngerasa gempa gini sering muncul waktu lagi tiduran/rebahan,namanya vertigo berguncang berasa gempa muncul tiduranrebahan,Negative
Dandim 0601/Pdg Hadiri Kegiatan Sosialisasi Informasi Gempa Bumi Dan Tsunami. https://t.co/QklDdfhQ7f,dandim pdg hadiri kegiatan sosialisasi informasi gempa bumi dantsunami,Negative
sumpaah ini kaya gempa sampe kebangun,sumpaah gempa terbangun,Negative
@Gempa_Tsunami Membangunkan utk sholat Subuh,tsunami membangunkan utk sholat subuh,Negative
"@maretanggraeni Banten gempa, saya di jakarta terasa tadi",banten gempa jakarta,Negative
"Barusan gempa gak sih... Apa gua halu ya, tapi masa sampe kebangun njir",barusan gempa berguncang terbangun njir,Negative
Gempa kerasa bgt. Tp cari di mana2 ga nemu.,gempa cari nemu,Negative
@Gempa_Tsunami Ya Smoga Engkau Allah Lindungi Rakyat Indonesia .... 😔🤲🏼,tsunami berguncang smoga engkau lindungi rakyat indonesia,Negative
Gempa kah,gempa kah,Negative
Mo tidur tapi parno gempa 😣,semoga tidur parno gempa,Neutral
ya Allah pantes jakarta berasa gempa juga barusan tadi... 😢 https://t.co/LnA63ykYkp,berguncang pantes jakarta berasa gempa barusan,Negative
"Info Gempa Mag:3.2, 26-Jan-22 00:53:30 WIB, Lok:7.45 LS - 106.01 BT (63 km BaratDaya BAYAH-BANTEN), Kedlmn: 19 Km :… https://t.co/lclDqc6RfS",info gempa magnitudo januari wib lokasi barat daya bayahbanten kedalaman,Negative
"@vkim_95 Halo, saya Bencana Bot. Untuk melaporkan dampak gempa di sekitarmu, silakan balas dengan #gempa https://t.co/sdoIidQLJK",halo bencana bot melaporkan dampak gempa sekitarmu silakan balas,Negative
Lg tidur kebangun serasa gempa pdhl engga itu apaan ya,tidur terbangun serasa gempa engga berguncang,Negative
Kamu merasa gempa gak ? ada kamu yang mengguncang hatiku sih.,gempa terkadang berguncang mengguncang hatiku,Negative
"Tumben yak saya peka gempa, biasanya mah molorr tidurr ga ngrasain apapun😭",tumben peka gempa mah molorr tidurr ngrasain apapun,Negative
Gunung Merapi Mengalami 111 Kali Gempa Guguran : Okezone News https://t.co/AJIUsR9JUM,gunung merapi mengalami kali gempa guguran okezone news,Negative
Ini gempa atau gue yang kecapean....,gempa berguncang kecapean,Negative
"@Inanteez01 Duhh semoga ga ada gempa susulan yaa, stay safe nan!!",duhh semoga terkadang gempa susulan ya aman,Positive
ya Allah berasa gempa 🙄,berguncang berasa gempa,Negative
Ini rebahan berasa goyang2 emang gempa lagi atau gue nya yg melayang?,rebahan berasa berguncang gempa melayang,Negative
"Benerrr. ponakananku 4 tahun ngobrolnya udah bagus banget, dua arah. Malah kadang dia yg inisiatif tanya atau ajak… https://t.co/BiO4w7Ovsq",benerrr ponakananku ngobrolnya bagus arah terkadang inisiatif lihatnya ajak,Positive
"Problematika tiap mau tidur -
Kunci pintu nggak ya?? Kalo dikunci, tiba"" ada gempa bakal ribet keluarnya. Kalo ngga… https://t.co/ry7IVnfokv",problematika tidur kunci pintu nggak berguncang dikunci terkadang gempa ribet keluarnya,Negative
Mau merem malah goyang2 walaupun gk besar sih getaran gempa nya ...,merem berguncang getaran gempa,Negative
@Inanteez01 iyaa samaa lg nyari berita bnrn gempa / engga tp blm ada 🥲,iyaa samaa nyari berita bnrn gempa engga terkadang,Negative
"@Udafarid12 Halo, saya Bencana Bot. Untuk melaporkan dampak gempa di sekitarmu, silakan balas dengan #gempa https://t.co/GYsIrlwrYA",halo bencana bot melaporkan dampak gempa sekitarmu silakan balas,Negative
@rblandika Tdi pagi Lombok gempa,pagi lombok gempa,Negative
@ZoeDnda_ gempa?,gempa,Negative
"sumpahh gara"" gempa tadi pagi gue jd takut mau tidur😸",sumpahh gempa pagi takut tidur,Negative
@null Gunung Merapi Mengalami 111 Kali Gempa Guguran Gunung Merapi di perbatasan DI Yo  https://t.co/Hw9oldl5iL,gunung merapi mengalami kali gempa guguran gunung merapi perbatasan yo,Negative
demi apapun td gempa gasi gue tidur kebangun eh kek lg goyang woi,apapun barat daya gempa gasi tidur terbangun berguncang woi,Negative
@null Gunung Merapi Mengalami 111 Kali Gempa Guguran Gunung Merapi di perbatasan DI Yo  https://t.co/duKVU29QPr,gunung merapi mengalami kali gempa guguran gunung merapi perbatasan yo,Negative
EH BARUSAN GEMPA KAH???,barusan gempa kah,Negative
@owkeeey_Enya3x gempa kapan sun,enyax gempa sun,Negative
Setelah gempa mengguncang terbitlah insomniaaa hadeuuh 😤😤😤,gempa mengguncang terbitlah insomniaaa hadeuuh,Negative
Gempa bumi 🤣 udh duga sih pasti yg diatas bakal ngerasain goyang 🤭 https://t.co/Ren1zjp0XH,gempa bumi duga diatas merasakan berguncang,Negative
asli badan w kenapa ya berasanya kek gempa muku ya Allah asli after effectnya gaselese2 apa vertigo gue ya😩,asli badan berguncang berasanya gempa muku berguncang asli after effectnya gaselese vertigo berguncang,Negative
gempa akwowkwowk https://t.co/dmZYq90jdh,gempa akwowkwowk,Negative
eh gempa ya?,gempa berguncang,Negative
"@SemutBebek @filosofiksi @pieterpitojo Waktu Jepang habis diLanda gempa hebat, itu reaktor nuklirnya sampai bocor d… https://t.co/lOxjAPgVYS",jepang habis dilanda gempa hebat reaktor nuklirnya bocor,Negative
"aku ga ngerti sih vertigo apa gk. semoga aja gk. pernah sampe aku chat dika ""eh gempa anjirrr"" trs aku udh mau lari… https://t.co/gXdEbDFanc",ngerti vertigo semoga chat dika gempa anjirrr lari,Neutral
"Mbuh ambles.. 
Mbuh mungah tanah di dalam laut seng nang titik iku (gempa) 

Kan merubah volume(wadah tempatnya air… https://t.co/6AbWBcxVWc",mbuh ambles mbuh mungah tanah barat laut seng nang titik iku gempa merubah volumewadah tempatnya air,Negative
"Kayaknya beberapa hari ini notifku muncul terus soal gempa deh, tp semiga semua baik"" aja yaa",kayaknya notifku muncul gempa semiga ya,Negative
"@FacotMo Halo, saya Bencana Bot. Untuk melaporkan dampak gempa di sekitarmu, silakan balas dengan #gempa https://t.co/1s22CdKDf9",halo bencana bot melaporkan dampak gempa sekitarmu silakan balas,Negative
"@bmkgjogja Awal tahun kok gempa terus ya, ada apa lagi dengan ibu Pertiwi",gempa berguncang terkadang pertiwi,Negative
@wildwestraven @andinadwifatma Owner tmpt krja dl namanya dude alias dua desember tanggal lahirnya. Trs ada temen n… https://t.co/F2BuXk6gnu,owner tmpt krja kedalaman namanya dude alias desember tanggal lahirnya terkadang teman,Neutral
Bener 😂. Pas Gempa kmrn ga ngeh kalo gempa kirain kumat. https://t.co/2zUcSKLvCW,gempa kemarin ngeh gempa kumat,Negative
@infoBMKG awas gempa besar 26-27,awas gempa,Negative
"@DuniaDlmTwit @Gempa_Tsunami Jelas ra sebanding mas, ringroad kulon neg mbengi earth hour terus kok",tsunami berasa sebanding mas ringroad kulon neg mbengi earth hour,Negative
"@Riki44291431 Halo, saya Bencana Bot. Untuk melaporkan dampak gempa di sekitarmu, silakan balas dengan #gempa https://t.co/aCQuTg0u7I",halo bencana bot melaporkan dampak gempa sekitarmu silakan balas,Negative
"sch! siapa jago olahraga disinii, aku butuh temen buat ngoreksi jawaban latihan untuk US PJOK🙏

✄・・・
🧐 Trivia: Epis… https://t.co/ozeAb5ITUQ",sch jago olahraga disinii butuh teman ngoreksi latihan pjok trivia epis,Positive
"Ini gua paranoid atau gimana sih, mau tidur malah ngerasa ada gempa",paranoid tidur berasa terkadang gempa,Negative
"Tadi pagi gempa, sekarang hujan besar. Double kill",pagi gempa hujan double kill,Negative
Mental mulai gempa,mental gempa,Negative
"@ysshlaf Astaga, kayaknya kecapean, coba cek google dulu, daerahmu gempa ga",astaga kayaknya kecapean coba cek google daerahmu gempa,Negative
@jayddenjung Gatau gempa atau emang kecapean sih ini 😭😭,gatau gempa kecapean,Negative
"Ini gempa lagi apa sugesti doang sih, w merasa digoyangin-goyangin",gempa sugesti digoyangingoyangin,Negative
@ysshlaf LHO GEMPA?,lho gempa,Negative
Gempa ga sih? Apa ini efek kecapean 😭,gempa efek kecapean,Negative
gue kira gempa...,gempa,Negative
gemuruhnya sampe bikin geter kek gempa 🙃,gemuruhnya bikin bergetar gempa,Negative
"Selain gempa e gede..
Patah e Panjang lithosphere e..
Dari selatan ke utara..",gempa patah lithosphere selatan kedalaman utara,Negative
anjr skg jadi parno sendiri. kasur goyang gr2 kucing aja ngiranya gempa. yaAllah🥺,anjr skg parno kasur berguncang gara gara kucing ngiranya gempa,Negative
Kok kayak gempa sih,gempa,Negative
"Td pagi gempa subuh2, skrg suara gemuruh ngga hnti2 bikin takut tdur padahal besok aku piket pagi :(",barat daya pagi gempa subuh suara gemuruh hnti bikin takut tdur besok piket pagi,Negative
"@ygaudst Gk tau
Tadi menuju mimpi jadi gk yakin beneran gempa atau gk",tau mimpi beneran gempa,Negative
@sunsetierr gempa hyung?,gempa hyung,Negative
"Ini tadi gempa atau gw halu? 
Setengah sadar tadi soalnya",gempa sadar,Neutral
barusan gempa apa cuma halusinasiku?,barusan gempa halusinasiku,Negative
"trus skrg aku demam tinggi, aku ngigau gempa dan diketawain satu kosan",demam ngigau gempa terkadang diketawain kosan,Negative
Gunung Merapi alami 111 kali gempa guguran - ANTARA News Bengkulu https://t.co/qozDdpPU9h,gunung merapi alami kali gempa guguran news bengkulu,Neutral
"@nurainiayutjik Abis gempa, bukannya keluar mall, malah chill pesen makan",habis gempa mall chill pesen makan,Neutral
iya lagi kalo gempa suka ini pusing halu apa gempa beneran https://t.co/1yymrDuZLg,iya gempa suka pusing gempa beneran,Negative
@afrkml Iya ners.. klo udh gempa suka panik.. ni vertigo gue kambuh apa gmn ya.. klo udh kambuh soalnya ngeri bsa m… https://t.co/Dtmh3PaznS,iya ners gempa suka panik vertigo kambuh gimana berguncang kambuh ngeri bsa,Negative
"Kabupaten Lombok Barat NTB diguncang gempa berkekuatan 4,6 SR Selasa subuh. Getaran gempa terasa hingga ke Denpasar… https://t.co/K5Cm3UIBcG",kabupaten lombok barat daya ntb diguncang gempa berkekuatan selasa subuh getaran gempa kedalaman denpasar,Negative
@Gempa_Tsunami Semoga baik2 aja,tsunami semoga,Neutral
@Gempa_Tsunami Semoga tidak terjadi apa2 y,tsunami semoga,Neutral
ini gempa gak si,gempa,Negative
"@hnurwahid Ingat ya, Yat. Kalo sampe naudzubillah mindzalik Jakarta kena gempa megathrust atau tsunami, lu harus ta… https://t.co/6R32q8833G",berguncang yat naudzubillah mindzalik jakarta terkena gempa megathrust tsunami,Negative
"@AdhieMassardi Kalimantan itu sebutan untuk pulaunya. Kalau pulaunya bergerak, maksudmu ada gempa, gitu?",kalimantan sebutan pulaunya pulaunya bergerak maksudmu terkadang gempa,Negative
jujur gara2 gempa subuh td jd takut tidur😃😃 mana kamarku posisinya paling jauh dari pintu buat keluar rumah😃,jujur gempa subuh barat daya takut tidur kamarku posisinya pintu rumah,Neutral
"@__AnakKolong Alhamdulillah, pernah berfoto sejenak di sudut jalan itu,1-2 bulan pasca gempa Lombok.

#salutUntukAyahndaAK🙏🙏👍🍹",anakkolong alhamdulillah berfoto sudut jalan pasca gempa lombok,Neutral
"@a_wind_ Halo, saya Bencana Bot. Untuk melaporkan dampak gempa di sekitarmu, silakan balas dengan #gempa https://t.co/l1yNlzkTvJ",wind halo bencana bot melaporkan dampak gempa sekitarmu silakan balas,Negative
"yaampuun beneran kejadian kemarin pas gempa, sempet mikir ini vertigo gua kambuh, baru sadar saat temen teriak ""gem… https://t.co/jA6y1MMkrd",yaampuun beneran kejadian kemarin gempa sempet berpikir vertigo kambuh sadar teman teriak gem,Negative
"""Turun tangganya hati-hati, jangan saling dorong""
""Bawa hp nya lari keluar kak"" ini kayanya diulang 5 kali ada deh.… https://t.co/RXgncVnJcP",turun tangganya hatihati dorong bawa hp lari kayanya diulang kali terkadang,Neutral
Dikira gempa gatau nya emang badan gw yg suka goyang sendiri kl udah capek kyknya😂,gempa gatau badan suka berguncang capek kyknya,Negative
"Wejangan mama setelah gempa tadi subuh.
""Jangan tidur pake singlet""
""Langsung nelpon kalo ada apa-apa""
""Inget kalo… https://t.co/IjNPfJ4pAz",wejangan mama gempa subuh tidur pake singlet langsung nelpon terkadang apaapa inget,Negative
Sumpah gue kira gempa ternyata guenya yang oleng :’) sumpah ya ini muter banget :’(,sumpah gempa guenya berguncang sumpah berguncang muter,Negative
@sidiqrizki @afrkml Jangan aneh kalo sering ngerasa gempa 💀💀,aneh berasa gempa,Negative
Sosialisasi Informasi Gempa Bumi dan Tsunami di kabupaten Pandeglang. Selasa 25 Januari 2022 https://t.co/cdxN7HpOC4,sosialisasi informasi gempa bumi terkadang tsunami kabupaten pandeglang selasa januari,Negative
"@eruZoldyck Halo, saya Bencana Bot. Untuk melaporkan dampak gempa di sekitarmu, silakan balas dengan #gempa https://t.co/oqV2T3iQL0",halo bencana bot melaporkan dampak gempa sekitarmu silakan balas,Negative
"@kaummakmum Sama 😭😭 lagi berdiri kerja aja kadang suka ngerasa goyang, lagi rebahan pun iya, semenjak gempa 14januari lalu wkwk",berdiri kerja terkadang suka berasa berguncang rebahan jepang iya semenjak gempa januari,Positive
Gempa tadi pagi cuma 3 detik tapi masih kerasa degdegannya.,gempa pagi detik degdegannya,Negative
"Aku dan ""eh gempa ya?"" https://t.co/DKZCmHxLaf",terkadang gempa berguncang,Negative
"Info Gempa: Mag. 1.6 SR, 25-Jan-22 23:18:40 WITA, Lok: 2.69 LS, 121.68 BT ( 24 Km BaratLaut MOROWALI-SULTENG ), Ked… https://t.co/4eiIbUkRTd",info gempa magnitudo januari wita lokasi barat laut morowalisulteng kedalaman,Negative
"@fauzanan_g Halo, saya Bencana Bot. Untuk melaporkan dampak gempa di sekitarmu, silakan balas dengan #gempa https://t.co/RVHD0u63r9",halo bencana bot melaporkan dampak gempa sekitarmu silakan balas,Negative
@Gempa_Tsunami Semoga tidak terjadi apa apa buat sodara sodara kita di snah,tsunami semoga sodara sodara snah,Neutral
"@afrkml Belakangan ini lg stress berat, eh tbtb sering bgt tuh ngerasa gempa kepala rasanya muter, bukan yg sakit k… https://t.co/J1x6W80Qgg",stress berat berasa gempa kepala muter sakit,Negative
@RIlahi2 Mungkin ini yg menyebabkan gempa megatras akan terjadi di pulau jawa. Semoga tidak terjadi amiin,menyebabkan gempa megatras pulau jawa semoga amiin,Neutral
"M Gempa Bumi5.5 - South Sandwich Islands Region - Sel, 25 Jan 2022 15:16:20 UTC (22:16 WIB) - 13 menit yang lalu
in… https://t.co/yMMDzAp74a",gempa bumi south sandwich islands region sulawesi selatan januari utc wib menit berguncang merasakan,Negative
"lumayan sering, kadang gw kira gempa, karna gw oleng wkwkw ternyata darah rendah sih kyknya inimah https://t.co/3RPh1ZFGrD",lumayan terkadang gempa darah rendah kyknya inimah,Negative
Tampak asap berwarna putih keluar dari Gunung Merapi dengan ketinggian 20 meter. https://t.co/A1PGYYy3GW,asap berwarna putih gunung merapi ketinggian meter,Neutral
@petabencana Bukan gempa kan? Berarti saya aja lagi puyeng. Maaf😭,gempa pusing maaf,Negative
Kamu merasa gempa gak ??? ada kamu yang mengguncang hatiku sih. SteffyChiBi #SUgombal,gempa terkadang berguncang mengguncang hatiku steffychibi,Negative
@bdleonanda @don_rahmad @DefriantaS @irdnek @FeredicusMp4 @Jung16906539 @Alsanusi6 @andika_211216 @setiakawan25… https://t.co/gcuDNEr2JZ,rahmad,Neutral
"@toppingroti Halo, saya Bencana Bot. Untuk melaporkan dampak gempa di sekitarmu, silakan balas dengan #gempa https://t.co/ZRpvjb4fWC",halo bencana bot melaporkan dampak gempa sekitarmu silakan balas,Negative
gempa bukan siiiiiiih,gempa siiiiiiih,Negative
"Banten dan PMI Kota Pandeglang mengenai kebutuhan yang diperlukan dalam pemulihan pasca bencana gempa bumi.

Tim As… https://t.co/lrDPkVhilj",banten terkadang pmi kota pandeglang kebutuhan berguncang pemulihan pasca bencana gempa bumi tim,Negative
untuk melakukan peninjauan dan survey terkait dampak bencana gempa bumi di Pandeglang. Tim berangkat dari Markas PM… https://t.co/agzWTtBggZ,peninjauan terkadang survey terkait dampak bencana gempa bumi pandeglang tim berangkat markas pm,Negative
"*Tim Assessment PMI DKI Survei Dampak Gempa Pandeglang, Banten*

Kepala Markas PMI Provinsi DKI Jakarta, Edwar Bach… https://t.co/PxsXSb00SK",tim assessment pmi dki survei dampak gempa pandeglang banten kepala markas pmi provinsi dki jakarta edwar bach,Negative
"gara gara gempa tadi pagi, petirnya malem ini jadi berasa extra serem... gabisa tidur beneran",gempa pagi petirnya semalam berasa extra serem gabisa tidur beneran,Negative
"Kocag bgt ini sekantor banyak yg vaksin booster bareng, pada meriang kan semalem jadinya. Nah, pagi2 jam 4-5an tuh… https://t.co/fkurBE5blj",kocag sekantor vaksin booster bareng meriang semalam pagi jam januari,Neutral
Warga Terdampak Gempa Bumi di Lumajang Terima Huntap https://t.co/51U7b2keB1,warga terdampak gempa bumi lumajang terimahuntap,Negative
@fajrahma Kalo gempa di lantai 10 cuma bisa pasrah ajah sih aku sekarang😭,gempa lantai pasrah ajah,Negative
"@Sacnalinggak_ Halo, saya Bencana Bot. Untuk melaporkan dampak gempa di sekitarmu, silakan balas dengan #gempa https://t.co/8FRiYfPwUu",halo bencana bot melaporkan dampak gempa sekitarmu silakan balas,Negative
"pov gue yg record tremor gempa bumi
 https://t.co/c74FIcmcKa",pov record tremor gempa bumi,Negative
"@gr____________ Halo, saya Bencana Bot. Untuk melaporkan dampak gempa di sekitarmu, silakan balas dengan #gempa https://t.co/fGELhXQnJh",halo bencana bot melaporkan dampak gempa sekitarmu silakan balas,Negative
Panas banget hawanya ya mudahan aja ga gempa lagi,panas hawanya berguncang mudahan gempa,Negative
"@Fikrimaskuli Halo, saya Bencana Bot. Untuk melaporkan dampak gempa di sekitarmu, silakan balas dengan #gempa https://t.co/bS6oatPLeK",halo bencana bot melaporkan dampak gempa sekitarmu silakan balas,Negative
Gue baru inget kemaren pas mau tidur gue kira gempa trnyata gue ketempelan,inget kemarin tidur gempa trnyata ketempelan,Negative
Pemerintah tidak boleh duduk diam dan harus memberikan perhatian lebih terhadap kemunculan syndrome baru ini dengan… https://t.co/A4UGBoMVAc,pemerintah duduk diam terkadang perhatian kemunculan syndrome,Positive
